Reg No,Job role that you are interested in,Min salary,Max salary,Median salary,highest paying company,Contribution in Ex-curricular,Tech competence,Package exp,CIA of last sem,GPA of last sem,max attendance till last sem,Intern Interest
1,Business Analyst,5,20,10,Capgemini,4,4,12,85,8.5,93,Industry
2,Data Scientist,3,8,5,Capgemini,3,4,10,90,8,100,Research
3,Data Scientist,5L,24L,10L,DE Shaw,3,3,8L,50%,8.6,95%,Research
4,Data Scientist,6 lac,13 lac,7 lac,Deolite,3,2,10 lac,57,60,92,Industry
5,Data Engineer,8 lac,18 lac,10 lac,DE Shaw,4,2,13 lac,60,71,93,Industry
6,Data Engineer,20,10,15,Deolite,5,4,20,93,8,93,Industry
7,Business Analyst,700000,3300000,1500000,Deolite,3,3,1500000,,9.8,95.76%,Industry
8,Software Engineer,NA,NA,NA,EY,1,1,1 Morbillion,35%,2.5,85%,None
9,Data Scientist,8,20,14,DE Shaw,3,4,10,80,3.5,90,Research
10,Business Analyst,4,24,9,Deolite,2,3,15,80,3.41,90,Industry
11,Data Engineer,500000,1400000,800000,DE Shaw,3,3,1200000,69,3.3/4,87%,Industry
12,Software Engineer,10000,,,EY,2,3,5,50,50,85,None
13,Business Analyst,10,20,15,Deolite,3,5,,,,,Industry
14,Data Scientist,5,,,DE Shaw,3,2,11,67,60,97,Industry
15,Data Scientist,5,15,9,DE Shaw,3,3,10,64,58,97,Industry
16,Data Scientist,7 LPA,15 LPA,8 LPA,DE Shaw,3,4,5 LPA,80,80,99,Research
17,Data Scientist,5 LPA,15LPA,8LPA,DE Shaw,4,4,5LPA,80,80,99,Research
18,Data Scientist,5 LPA,15 LPA,8 LPA,DE Shaw,4,4,5 LPA,80,80,99,Research
19,Data Scientist,6 LPA,14 LPA,7 LPA,DE Shaw,4,4,7 LPA,80,80,99,Research
20,Data Scientist,6 LPA,16 LPA,8 LPA,DE Shaw,4,4,6.5 LPA,80,80,99,Research
21,Business Analyst,3 LPA,,,Deolite,2,2,3 LPA,,,,None
